0	seed-seed surface color
1	seed-chalaza circularity
2	seed-chalaza surface angle
3	pollen-exine thickness at center
4	seed-ventral infolds thin cs width surface
5	seed-ventral infold cs depth
6	seed-cs width
7	seed-tracheidal cell length
8	seed-testa v. i.  thickness
9	seed-ventral infold circularity
10	seed-seed circularity
11	seed-apex to widest part
12	seed-ventral infold cs perimeter
13	seed-ventral infold space-middle
14	seed-cs length
15	seed-cs circularity
16	seed-lateral infolds cs depth
17	seed-testa ruga sinus thickness
18	seed-chalaza sunken angle
19	pollen-exine thickness at pore
20	seed-testa chalaza  thickness
21	seed-chalaza to beak
22	seed-lateral Feret's diameter
23	seed-ventral infold apex to widest part
24	seed-ventral infold  thin cs circularity
25	seed-apical groove angle
26	seed-raphe curve angle
27	pollen-pollen length
28	seed-ventral infolds cs width surface
29	seed-tracheidal cell diameter
30	seed-seed length
31	pollen-no pit region distance to pore
32	seed-ruga angle
33	seed-seed width
34	seed-ventral infold curve angle
35	seed-testa thickness on v. i. surface
36	seed-lateral fit ellipse perimeter
37	seed-testa thicken mid vi
38	seed-tracheidal cell layers
39	pollen-apocolpium distance
40	seed-testa maximum thickness
41	seed-ventral infold perimeter
42	seed-ventral infold space-apex
43	seed-testa cs sclereid width
44	seed-lateral chalaza length
45	seed-lateral perimeter
46	seed-ventral infold cs fit ellipse perimeter
47	seed-ventral infold base to beak
48	pollen-pollen width
49	seed-testa sclereid surface sculpture
50	seed-apical notch angle
51	seed-sacrotesta crystal
52	seed-testa average thickness
53	pollen-pit diameter near pore
54	seed-cs perimeter
55	seed-chalaza width
56	seed-testa sclereid crystal
57	seed-apical notch length
58	seed-chalaza length
59	seed-chalaza apex to widest part
60	seed-beak length
61	seed-ruga ridge angle
62	seed-basal groove angle
63	seed-ventral Feret's diameter
64	pollen-length to width ratio variation
65	seed-chalaza thickness
66	seed-chalaza to notch
67	seed-ventral infold width
68	seed-beak angle
69	seed-ventral infold cs circularity
70	seed-testa on infolds surface
71	pollen-c s shape
72	seed-cs fit ellipse perimeter
73	seed-ventral infold angle
74	pollen-colpus surface
75	seed-testa cs sclereid length
76	seed-lateral circularity
77	seed-lateral infolds cs width
78	pollen-pit diameter at center
79	seed-ventral infold length (Feret's)
80	pollen-pore diameter
81	seed-testa cs sclereid layer number
82	seed-ventral infold thin cs perimeter
83	seed-testa ruga apex thickness
84	seed-testa sclereid wall thickness
85	seed-sarcotesta stomates p/a
86	seed-dorsal length from notch
87	seed-ventral infold space-base
